"date_stamp","count","user_id","product_id"
"2015-01-01","1","824","3276"
"2014-08-02","4","686","2314"
"2018-10-11","2","773","6320"
"2013-04-16","3","639","647"
"2013-09-16","3","250","6151"
"2018-10-23","4","760","1103"
"2014-02-27","2","338","4975"
"2012-03-19","1","874","4690"
"2016-04-19","4","984","2052"
"2018-09-05","4","478","3722"
"2017-09-24","1","405","4917"
"2014-07-10","4","707","4365"
"2021-04-22","1","476","3364"
"2021-04-24","1","987","1849"
"2014-08-21","1","116","5634"
"2016-09-02","1","704","6743"
"2015-08-09","3","482","5277"
"2020-01-16","1","5","6002"
"2019-07-13","3","691","1728"
"2018-09-10","4","762","3052"
"2019-10-01","1","745","30"
"2014-01-24","3","452","6883"
"2012-08-19","3","292","1083"
"2014-09-30","4","694","7403"
"2014-03-29","1","880","7165"
"2020-01-26","4","442","4742"
"2019-04-27","3","777","1934"
"2014-09-20","4","327","2166"
"2019-01-24","1","254","1162"
"2017-11-06","2","767","2859"
"2014-01-19","4","382","5566"
"2015-01-01","3","886","6297"
"2015-04-13","1","741","3477"
"2014-05-17","4","495","1187"
"2015-03-11","2","340","1979"
"2012-03-22","4","945","2801"
"2012-10-08","2","523","7570"
"2013-08-09","4","143","7821"
"2016-07-25","3","315","2209"
"2015-02-22","3","730","2970"
"2021-06-01","2","613","6669"
"2021-01-19","2","265","5417"
"2021-08-26","2","983","3102"
"2013-09-30","3","24","380"
"2015-09-11","4","563","3020"
"2020-12-17","4","117","2802"
"2017-04-01","4","336","2176"
"2019-08-12","2","360","645"
"2019-06-15","1","719","6113"
"2016-11-28","4","340","973"
"2021-08-02","3","222","7815"
"2021-05-16","1","599","7719"
"2020-01-17","3","606","3820"
"2021-01-15","1","399","3327"
"2021-02-23","2","296","5399"
"2014-03-25","2","338","4084"
"2018-10-10","2","406","2619"
"2020-06-27","1","697","6365"
"2015-07-03","1","941","3052"
"2020-05-13","4","956","4432"
"2013-08-11","4","94","1081"
"2012-06-18","2","38","3315"
"2012-08-07","4","809","7573"
"2014-01-24","2","422","6518"
"2016-07-10","2","659","471"
"2021-09-29","2","240","2979"
"2019-12-25","2","449","7694"
"2017-04-05","3","228","4625"
"2017-12-22","3","860","3843"
"2017-03-07","1","361","5839"
"2014-02-15","3","39","155"
"2015-12-03","3","108","2615"
"2017-02-10","4","250","2206"
"2021-08-11","4","88","4806"
"2014-05-04","3","478","216"
"2020-07-11","1","386","4876"
"2016-01-13","4","693","1308"
"2013-08-03","4","436","5207"
"2018-09-15","3","83","61"
"2018-02-08","2","983","2448"
"2016-01-02","2","310","5349"
"2013-12-05","1","932","3496"
"2020-08-24","4","789","130"
"2016-08-08","4","287","450"
"2013-12-27","1","693","372"
"2020-11-17","2","979","2845"
"2017-11-18","2","245","3814"
"2014-11-03","2","182","7451"
"2022-01-26","1","408","2314"
"2021-01-22","3","67","4184"
"2020-03-04","3","212","2998"
"2021-04-01","3","658","3720"
"2014-01-24","2","137","710"
"2012-06-10","3","961","5435"
"2019-11-07","1","640","2833"
"2018-07-25","1","446","7310"
"2012-03-18","3","422","2706"
"2014-11-26","1","920","1566"
"2016-10-26","4","267","6685"
"2015-05-14","1","182","773"
"2014-12-30","4","753","3596"
"2019-12-26","2","346","3799"
"2012-10-02","2","924","6587"
"2021-02-01","1","584","2763"
"2013-01-03","3","776","3231"
"2016-11-04","3","189","3692"
"2019-08-01","2","738","600"
"2013-08-12","1","92","158"
"2014-09-29","1","624","710"
"2021-03-24","2","693","4973"
"2016-03-08","2","108","6350"
"2017-01-25","4","360","5291"
"2014-08-04","4","851","438"
"2020-06-12","4","904","4952"
"2018-09-27","3","807","7629"
"2021-02-10","2","909","1751"
"2020-10-05","3","112","3120"
"2017-12-02","2","597","7957"
"2015-03-16","1","727","6248"
"2021-09-13","3","70","6656"
"2019-10-22","1","614","7510"
"2016-04-26","3","33","3703"
"2019-08-14","1","622","6495"
"2016-01-13","2","254","3707"
"2020-12-01","2","523","4683"
"2018-04-11","1","148","7603"
"2021-02-03","1","856","2349"
"2014-09-11","2","352","1251"
"2018-10-06","1","788","6327"
"2016-04-04","2","429","2032"
"2018-03-23","1","440","4241"
"2013-04-06","1","847","7463"
"2019-07-22","2","433","70"
"2014-05-02","2","909","1112"
"2017-10-18","1","703","480"
"2021-10-03","1","999","2247"
"2016-10-26","1","128","4"
"2017-11-28","3","262","7106"
"2020-07-13","3","681","2573"
"2014-06-30","3","138","6759"
"2014-02-20","2","843","3636"
"2016-07-27","1","120","5600"
"2021-10-14","1","792","5521"
"2015-12-31","4","809","2492"
"2021-11-11","4","582","5146"
"2015-08-22","3","224","7583"
"2017-10-09","1","551","3776"
"2019-06-06","2","187","4659"
"2019-07-27","1","633","1359"
"2015-11-19","3","66","1230"
"2017-09-07","4","985","4878"
"2021-09-08","1","729","1134"
"2019-02-13","2","432","1030"
"2014-03-11","2","134","4555"
"2019-04-06","2","74","3924"
"2019-04-30","4","722","522"
"2019-05-17","4","954","2057"
"2020-05-18","1","864","4327"
"2015-12-23","3","815","2847"
"2013-11-13","1","851","2940"
"2013-01-13","1","694","6912"
"2020-04-20","2","762","2483"
"2014-09-28","3","679","3089"
"2013-05-27","1","509","2909"
"2016-07-17","3","532","4110"
"2019-06-16","3","110","5007"
"2015-11-03","4","906","4614"
"2016-10-02","2","18","3277"
"2012-02-15","3","360","4718"
"2015-03-05","1","974","3611"
"2021-10-05","1","692","296"
"2017-02-09","1","441","6382"
"2018-12-21","4","40","7910"
"2015-05-23","1","98","1737"
"2013-04-15","4","455","2579"
"2019-09-02","2","59","5724"
"2014-01-22","2","260","2300"
"2013-12-12","3","524","3307"
"2017-04-01","1","373","6906"
"2019-09-30","4","9","170"
"2016-01-04","2","984","6235"
"2020-02-14","3","587","7321"
"2014-04-11","2","30","3748"
"2012-04-24","2","960","1286"
"2021-11-22","1","645","6496"
"2013-07-15","2","104","1807"
"2013-12-28","3","351","2191"
"2021-07-19","3","36","6668"
"2015-08-18","3","789","6797"
"2012-10-10","3","339","6783"
"2017-05-30","2","181","2891"
"2013-04-01","2","472","172"
"2017-10-03","1","757","5215"
"2019-07-05","3","464","1844"
"2021-11-17","3","593","4764"
"2014-03-05","3","855","5746"
"2021-06-24","2","5","7163"
"2016-01-26","4","857","1593"
"2020-02-24","1","612","203"
"2019-10-18","4","935","1116"
"2013-12-17","1","967","3742"
"2017-04-12","2","725","3605"
"2016-03-03","4","275","3638"
"2015-08-29","3","306","2820"
"2019-01-07","2","830","4266"
"2012-03-27","4","84","4732"
"2013-09-29","3","896","4174"
"2017-01-12","3","369","1200"
"2017-10-23","4","298","2519"
"2017-12-19","2","188","2510"
"2018-06-16","1","163","6594"
"2018-08-25","1","212","4668"
"2015-02-13","3","383","2739"
"2020-06-23","4","993","5050"
"2017-06-24","3","1","2393"
"2015-10-09","3","75","7159"
"2022-01-05","1","357","5583"
"2019-03-27","2","263","5265"
"2017-12-28","4","395","1598"
"2019-07-12","1","256","4961"
"2017-06-30","4","396","4279"
"2016-10-29","2","304","1383"
"2016-04-17","4","98","4998"
"2018-03-23","3","302","3121"
"2021-10-07","4","29","6911"
"2018-07-25","3","334","1669"
"2019-10-30","2","775","4972"
"2019-03-25","1","382","3465"
"2019-09-19","1","281","2264"
"2016-12-01","1","770","907"
"2017-10-18","4","433","3506"
"2020-09-15","4","747","7762"
"2013-12-26","1","460","7862"
"2014-01-19","2","664","7625"
"2012-10-05","1","941","4048"
"2012-08-02","2","138","4888"
"2018-05-17","3","734","7839"
"2021-01-29","3","783","6195"
"2012-12-05","3","214","1721"
"2020-03-15","2","908","3849"
"2018-09-24","3","144","967"
"2020-04-13","3","667","862"
"2013-06-01","3","51","4019"
"2018-08-14","1","614","1355"
"2019-02-27","3","327","7698"
"2014-06-08","2","221","1440"
"2015-02-13","1","791","5451"
"2016-07-01","2","576","5126"
"2013-08-11","1","181","1251"
"2019-01-08","2","155","4779"
"2020-08-30","1","831","6705"
"2012-05-12","1","877","452"
"2021-03-20","2","753","3770"
"2018-09-09","4","788","6320"
"2018-04-21","2","623","3760"
"2015-12-09","3","993","7518"
"2017-12-04","2","11","336"
"2015-02-05","4","375","1943"
"2018-03-22","1","138","6959"
"2021-02-25","3","46","2836"
"2017-02-25","2","686","7027"
"2013-01-07","3","288","3974"
"2015-12-11","1","758","449"
"2017-04-03","4","455","5631"
"2014-07-01","3","172","524"
"2021-06-06","2","954","660"
"2016-05-11","4","368","6418"
"2017-03-19","4","416","3357"
"2017-03-01","1","403","3655"
"2013-07-15","4","563","7543"
"2015-02-27","2","845","4515"
"2014-01-16","3","375","1500"
"2014-10-13","3","912","89"
"2014-12-08","1","70","4116"
"2014-05-01","4","375","6335"
"2015-04-28","4","292","3680"
"2015-09-02","1","633","1769"
"2014-08-21","4","49","3776"
"2017-01-12","1","912","2287"
"2017-10-12","2","103","6561"
"2014-11-03","4","693","2989"
"2013-03-25","2","442","1544"
"2021-05-07","4","734","7203"
"2013-01-01","4","420","2360"
"2018-07-29","1","301","4929"
"2013-08-16","3","167","2128"
"2018-01-19","3","406","7955"
"2018-12-13","4","9","7831"
"2019-03-24","3","902","229"
"2017-12-03","3","1","6887"
"2014-09-22","4","497","4879"
"2014-10-13","1","175","2344"
"2013-05-12","3","101","649"
"2020-04-06","2","26","3856"
"2016-04-13","1","245","3234"
"2013-04-07","4","627","7231"
"2017-07-14","1","339","74"
"2020-11-19","4","289","4441"
"2021-06-06","2","788","6950"
"2017-06-19","4","909","5878"
"2016-05-12","4","90","6127"
"2014-11-23","3","131","3564"
"2014-04-05","3","879","2851"
"2016-10-27","4","872","5053"
"2013-03-13","2","269","2354"
"2012-08-29","2","975","6914"
"2014-11-26","2","890","7038"
"2018-02-20","4","110","772"
"2019-03-23","1","725","7426"
"2019-04-15","2","81","1665"
"2012-03-24","4","603","4600"
"2021-11-28","2","611","526"
"2021-09-06","4","119","6063"
"2016-01-07","4","39","1409"
"2017-06-04","2","657","776"
"2021-03-26","1","267","2"
"2021-05-17","3","40","6295"
"2021-05-23","2","458","233"
"2018-04-26","2","611","671"
"2020-04-25","2","124","4445"
"2013-06-17","1","115","5475"
"2019-12-18","4","481","767"
"2012-05-11","1","407","1161"
"2021-02-02","1","618","6617"
"2015-10-16","4","875","6883"
"2018-07-22","2","385","4712"
"2021-06-25","1","559","4965"
"2012-07-27","3","217","4843"
"2021-10-25","2","413","4002"
"2018-12-19","4","652","3759"
"2016-04-01","2","640","5028"
"2012-06-25","2","145","1916"
"2016-03-04","1","380","546"
"2018-06-19","3","450","7962"
